asset_type,year_month,mean_price,score_ch1,score_ch2,score_ch3,score_ch4,score_ch5
lego,2023-10,440.79799999999994,13.2,0.181559,0.000924,0.76468,0.047019257142857145
lego,2023-11,392.014,28.78,0.013709599999999999,0.0034468,-0.50924,0.047938047619047616
lego,2023-12,411.704,46.08,0.0,0.0,-0.29335999999999995,0.06000433333333333
lego,2024-01,411.67600000000004,19.8,0.0,0.0,-0.49661999999999995,0.073789
lego,2024-02,406.596,13.6,0.0,0.0,-0.07161999999999998,0.07652910714285714
lego,2024-03,418.16999999999996,16.8,0.0,0.0,0.18944,0.04380892857142857
lego,2024-04,461.312,10.14,0.28454300000000005,0.014032600000000001,0.18698,0.055519625
lego,2024-05,462.962,13.98,0.0491936,0.0008076,0.051039999999999995,0.02363925
lego,2024-06,460.23199999999997,10.6,0.0,0.0,-0.25738,0.046085
lego,2024-07,428.64,10.76,0.0,0.0,0.29628,0.045690999999999996
lego,2024-08,444.03599999999994,11.38,0.0185484,0.0009776,0.20137999999999998,0.052155999999999994
lego,2024-09,420.826,13.080000000000002,0.2566666,0.0045058,0.41806,0.03415925
lego,2024-10,388.764,17.94,0.2633334,0.0018548000000000002,0.50518,0.023643
lego,2024-11,405.75,39.839999999999996,0.085215,0.0040166,-0.38678,0.030198083333333334
lego,2024-12,437.03999999999996,47.8,0.053333399999999996,0.0015945999999999998,-0.40872,-0.0038970833333333314
lego,2025-01,410.63199999999995,25.72,0.0,0.0,-0.1357,-0.019257
lego,2025-02,461.35599999999994,12.3,0.0,0.0,0.26336000000000004,0.0208635
lego,2025-03,430.59399999999994,11.24,0.0129032,0.0004144,-0.18888,0.0326938125
lego,2025-04,411.98199999999997,10.2,0.013709599999999999,0.0012672,0.15592,0.008808625
lego,2025-05,402.21799999999996,10.3,0.0,0.0,-0.07822,0.07185293749999999
lego,2025-06,419.52200000000005,11.559999999999999,0.0193258,0.0077048,0.16747999999999996,0.02599975
lego,2025-07,401.948,16.68,0.0566666,0.0018568,-0.0744,0.05474775
lego,2025-08,407.95599999999996,29.2,0.3153762,0.0006966,-0.009740000000000016,-0.015504749999999998
lego,2025-09,423.076,24.259999999999998,0.0,0.0,0.21612,0.008716499999999999
lego,2025-10,395.806,29.24,0.0153226,0.0011814,0.2029,-0.021191500000000002
lego,2025-11,481.63,35.32,0.013709599999999999,0.0021254,-0.53116,0.047549375
lego,2025-12,435.96000000000004,54.44,0.1573924,0.0020654000000000002,-0.007499999999999974,0.030923
sneakers,2022-01,678.84,36.839999999999996,0.0933334,0.0051672,-0.87888,0.04503120000000001
sneakers,2022-02,683.336,38.379999999999995,0.14222220000000002,0.013927,-0.28998,0.0432134
sneakers,2022-03,650.144,38.28,0.0644444,0.0016556000000000001,-0.46137999999999996,0.0431096
sneakers,2022-04,637.244,47.06,0.0222222,0.0025104000000000003,-1.15748,0.023122
sneakers,2022-05,609.202,36.0,0.0777778,0.0038654,-0.6611,0.002945800000000001
sneakers,2022-06,562.2479999999999,34.64,0.10158720000000002,-0.0005550000000000002,-0.00034000000000004025,0.0087688
sneakers,2022-07,549.276,44.64,0.3697076,0.0018581999999999997,-0.46148000000000006,0.0177482
sneakers,2022-08,551.8820000000001,49.92,0.16970760000000001,0.0015252000000000002,-0.42706,0.0189708
sneakers,2022-09,535.218,45.88,0.0,0.0,-1.2144400000000002,0.023033
sneakers,2022-10,535.294,43.839999999999996,0.2422222,2.4200000000000002e-05,-0.15624,0.0006143999999999982
sneakers,2022-11,540.364,48.94,0.11873020000000001,0.00036439999999999997,-0.25238,0.0188578
sneakers,2022-12,538.6940000000001,59.3,0.36380939999999995,0.0025468,-0.49319999999999997,0.0038384000000000014
sneakers,2023-01,539.13,48.56,0.1774602,0.0015515999999999998,-0.87804,-0.0101466
sneakers,2023-02,514.926,43.5,0.0,0.0,-0.40059999999999996,0.00023279999999999967
sneakers,2023-03,508.47799999999995,44.22,0.0,0.0,-0.028940000000000004,-0.002035
sneakers,2023-04,506.96000000000004,49.28,0.0444444,0.0021374000000000002,0.35394000000000003,0.009731400000000001
sneakers,2023-05,486.956,44.08,0.0,0.0,0.54984,0.044107400000000005
sneakers,2023-06,485.36,39.04,0.0,0.0,-0.011040000000000022,0.0070036000000000005
sneakers,2023-07,464.346,42.4,0.0422222,0.0010984,0.8902999999999999,0.00789
sneakers,2023-08,462.67999999999995,44.06,0.0,0.0,0.26312,0.012681800000000002
sneakers,2023-09,453.332,37.98,0.0,0.0,0.05572000000000001,0.017011199999999997
sneakers,2023-10,437.392,34.88,0.0,0.0,0.5330999999999999,0.0142026
sneakers,2023-11,451.668,37.98,0.0,0.0,0.27874,0.042117
sneakers,2023-12,459.41999999999996,37.879999999999995,0.0,0.0,0.00038000000000002474,0.0021343999999999994
sneakers,2024-01,451.012,27.639999999999997,0.0,0.0,0.26020000000000004,-0.004630200000000001
sneakers,2024-02,451.23199999999997,25.56,0.1789474,0.0010907999999999998,0.23258,-0.0020330000000000014
sneakers,2024-03,443.76800000000003,25.839999999999996,0.1666666,4.38e-05,0.11080000000000001,0.0142452
sneakers,2024-04,450.218,23.7,0.0,0.0,-0.12353999999999998,0.0155148
sneakers,2024-05,442.46400000000006,22.54,0.5085714,0.0015442,0.65246,-0.0037250000000000017
sneakers,2024-06,410.07399999999996,20.4,0.0,0.0,0.28402,0.010542800000000001
sneakers,2024-07,423.98600000000005,20.119999999999997,0.0,0.0,0.37054,0.0035601999999999995
sneakers,2024-08,421.162,22.6,0.0,0.0,0.34892,0.0033138
sneakers,2024-09,408.694,21.32,0.0,0.0,0.29555999999999993,-0.028030200000000005
sneakers,2024-10,399.856,16.32,0.0,0.0,-0.4419600000000001,0.00925275
sneakers,2024-11,406.23400000000004,19.48,0.0,0.0,0.13681999999999997,0.009611900000000001
sneakers,2024-12,409.56399999999996,21.32,0.0,0.0,0.3534,-0.018286550000000002
sneakers,2025-01,388.33399999999995,15.4,0.0,0.0,0.42118,-0.008674799999999998
sneakers,2025-02,377.24399999999997,13.080000000000002,0.0,0.0,0.5480799999999999,-0.001377199999999998
sneakers,2025-03,380.506,14.559999999999999,0.10857140000000001,0.0022752000000000002,0.63538,-0.015163400000000002
sneakers,2025-04,381.882,13.24,0.0,0.0,0.8566800000000001,0.0193794
sneakers,2025-05,380.144,12.4,0.0,0.0,-0.26436000000000004,-0.0264951
sneakers,2025-06,366.016,11.16,0.0,0.0,0.51756,0.008404400000000001
sneakers,2025-07,363.404,12.26,0.0444444,0.001676,0.7614599999999999,0.0081412
sneakers,2025-08,363.84000000000003,14.959999999999999,0.0,0.0,0.5198400000000001,0.028204200000000002
sneakers,2025-09,353.54999999999995,12.559999999999999,0.0377778,-0.000606,0.23637999999999998,-0.008755200000000001
sneakers,2025-10,355.072,10.7,0.0,0.0,0.61528,-0.004643799999999998
sneakers,2025-11,364.058,14.0,0.0,0.0,-1.54734,-0.024573499999999998
sneakers,2025-12,352.96999999999997,10.580000000000002,0.2,0.0019538,-0.9324999999999999,-0.038929
